Hierarchy,Identification,Name,Quantity,Unit,Contract,Rate,Material Rate,Labor Rate,Subtotal,Property,Query
1,DB,Design and build,,,,,,,,,
2,DB.1,Design,,,,,,,,,
3,DB.1.1,Architecte,1,unit,40000,,,,40000,,
3,DB.1.2,Bet structure,1,unit,10000,,,,10000,,
3,DB.1.3,Bet lots techniques,1,unit,8000,,,,8000,,
2,DB.2,Construction,,,,,,,,,
3,DB.2.1,Go & etancheite,,,,,,,,,
4,DB.2.1.1,Gros oeuvre,,,,,,,,,
4,DB.2.1.2,Etancheite,,,,,,,,,
5,DB.2.1.2.1,Forme de pente  et chape de lissage,,,,97,,,,NetArea,"IfcSlab, location=Roof"
5,DB.2.1.2.2,Ecran pare-vapeur et isolation thermique,,,,47,,,,NetArea,"IfcSlab, location=Roof"
5,DB.2.1.2.3,Systeme d’etancheite bicouche,,,,23,,,,NetArea,"IfcCovering, type=Etancheite_H"
5,DB.2.1.2.4,Reliefs d’etancheite bicouche,,,,7,,,,Length,"IfcWall, type=”BLK150”, location=Roof"
5,DB.2.1.2.5,Protection horizontales d’etancheite par carreaux de ciment,,,,,,,,NetArea,"IfcCovering, type=Etancheite_H"
5,DB.2.1.2.6,Protection des reliefs d’etancheite,,,,,,,,,
5,DB.2.1.2.7,Etancheite legere,,,,,,,,,
5,DB.2.1.2.8,Fourniture et pose de gargouilles y compris crapaudines,3,unit,,,,,,,
,,,,,,,,,,,
4,DB.2.1.3,Gros oeuvre piscine,,,,,,,,,
5,DB.2.1.3.1,Fouilles en pleine masse dans tous terrains y compris rocher,,,,,,,,,
5,DB.2.1.3.2,Remblaiement ou evacuation aux decharges publiques,,,,,,,,,
5,DB.2.1.3.3,Beton de proprete,,,,,,,,,
5,DB.2.1.3.4,Beton hydrofuge pour tous les ouvrages en fondation et elevation,,,,,,,,,
5,DB.2.1.3.5,Aciers a haute limite elastique fe500 pour les ouvrages en fondation et elevation,,,,,,,,,
,,,,,,,,,,,
4,DB.2.1.4,Maconnerie et briquetage  en elevation,,,,,,,,,
5,DB.2.1.5.1,Cloisons en briques creuses 7t,,,,,,,,,
5,DB.2.1.5.2,Doubles cloisons en briques creuses 7t+vide10+7t,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
4,DB.2.1.5,Enduits interieurs et exterieurs,,,,,,,,,
5,DB.2.1.5.1,"Enduit interieur au mortier de ciment sur murs et plafonds y 
Compris baguettes d'angles",,,,,,,,,
5,DB.2.1.5.1.1,Enduit interieur au platre,,,,,,,,,
5,DB.2.1.5.1.2,"Enduit projete exterieur au mortier de ciment y compris baguettes 
D'angles",,,,,,,,,
5,DB.2.1.5.1.3,Enduit de couronnement d'acroteres y compris facon de larmier,,,,,,,,,
,,,,,,,,,,,
4,DB.2.1.5,Reseaux sous dallage,,,,,,,,,
5,DB.2.1.5.1,Canalisation en buse pvc type assainissement serie i,,,,,,,,,
6,DB.2.1.5.1.1,Tranchee ,,,,,,,,,
6,DB.2.1.5.1.2,P.v.c diametre de 200 mm,,,,,,,,,
,,,,,,,,,,,
5,DB.2.1.5.2,Regards en beton arme ,,,,,,,,,
6,DB.2.1.5.2.1,Regards visitable de 50x50 cm,,,,,,,,,
6,DB.2.1.5.2.2,Regards non visitable de  40x40 cm,,,,,,,,,
4,DB.2.1.5,Divers,,,,,,,,,
5,DB.2.1.5.1,Gaine technique d’aeration et habillage des descentes des eaux ,,,,,,,,,
,,,,,,,,,,,
3,DB.2.2,Fluides,,,,,,,,,
4,DB.2.2.1,Plomberie,,,,,,,,,
4,DB.2.2.2,Climatisation,,,,,,,,,
4,DB.2.2.3,Sanitaire,,,,,,,,,
3,DB.2.3,Electricite,,,,,,,,,
4,DB.2.3.1,Eclairage et appareillage,,,,,,,,,
4,DB.2.3.2,Panneaux solaires,,,,,,,,,
3,DB.2.4,Architecture interieure,,,,,,,,,
4,DB.2.4.1,Menuiserie metallique,,,,,,,,,
5,DB.2.4.1.1,G.c 1 en vitrage bord àbord 10*10*2(1unite) rail en alu encastre,,,,,,,,,
5,DB.2.4.1.2,G.c 2 en vitrage bord àbord 10*10*2(1unite) rail en alu encastre,,,,,,,,,
,,,,,,,,,,,
4,DB.2.4.2,Menuiserie bois,,,,,,,,,
5,DB.2.4.2.1,Portes,,,,,,,,,
6,DB.2.4.2.1.1,P1,,,,,,,,Count,"IfcDoor, type=P1"
6,DB.2.4.2.1.2,P2,,,,,,,,Count,"IfcDoor, type=P2-LEFT + IfcDoor, type=P2-RIGHT"
6,DB.2.4.2.1.3,P3,,,,,,,,Count,"IfcDoor, type=P3-LEFT + IfcDoor, type=P3-RIGHT"
,,,,,,,,,,,
5,DB.2.4.2.2,Placards et habillage,,,,,,,,,
6,DB.2.4.2.2.1,Fourniture placard type 1,,,,,,,,,
6,DB.2.4.2.2.2,Fourniture placard type 2,,,,,,,,,
6,DB.2.4.2.2.3,Fourniture placard type 3 ,,,,,,,,,
6,DB.2.4.2.2.3,Fourniture placard type 4,,,,,,,,,
,,,,,,,,,,,
4,DB.2.4.3,Revetement sol parquet,,,,,,,,,
5,DB.2.4.3.1,Fourniture parquet contrecolle 18mm dont epaisseur noyer americain 3mm,,,,,300,,,NetArea,"IfcCovering, type=RS-2"
5,DB.2.4.3.2,Fournitur basic underlay,,,,,50,,,NetArea,"IfcCovering, type=RS-2"
5,DB.2.4.3.3,"Fourniture profilpas finition laiton 2,5mm",,,,,20,,,Width,IfcDoor
5,DB.2.4.3.4,"Pose du parquet y compris isolant acoustique, chappe de ciment, sous-couche et barre de seuil",,,,,,74,,NetArea,"IfcCovering, type=RS-2"
,,,,,,,,,,,
4,DB.2.4.4,Revetement sol marbre,,,,,,,,,
5,DB.2.4.4.1,Fourniture marbre sols,,,,,,,,NetArea,"IfcCovering, type=RS-5"
5,DB.2.4.4.2,Fourniture marbre- sols sdb,,,,,,,,NetArea,"IfcCovering, type=RS-2"
5,DB.2.4.4.3,Fourniture marbre murs sdb ,,,,,,,,,
5,DB.2.4.4.4,Fourniture marbre marche escalier y/c nez,,,,,,,,,
5,DB.2.4.4.5,Pose marbre sols y compris chappe de ciment,,,,,,,,,
5,DB.2.4.4.6,Pose marbre murs,,,,,,,,,
5,DB.2.4.4.7,Pose marbre marches,,,,,,,,,
,,,,,,,,,,,
4,DB.2.4.5,Revetement carreaux,,,,,,,,,
5,DB.2.4.5.1,Revetements,,,,,,,,,
6,DB.2.4.5.1.1,Revêtement sol: cuisine - carreaux - gres cerame (30*60cm) - choix sous validation d'echantillons par l'architecte et le maitre d'ouvrage,,,,,,,,,
6,DB.2.4.5.1.2,Revêtement sol: salle de jeux - carreaux - gres cerame (30*60cm) - choix sous validation d'echantillons par l'architecte et le maitre d'ouvrage,,,,,,,,,
6,DB.2.4.5.1.3,Revêtement sol: (reserve) - gres cerame (30*60cm) - choix sous validation d'echantillons par l'architecte et le maitre d'ouvrage - ,,,,,,,,,
6,DB.2.4.5.1.4,Revêtement mural cuisine - carreaux - effet vitrage noir,,,,,,,,,
5,DB.2.4.5.2,Plinthes,,,,,,,,,
6,DB.2.4.5.2.1,Plinthes - duropolymer orac decor ref : sx157,,,,,,,,,
6,DB.2.4.5.2.2,Plinthes marches - - duropolymer orac decor ref : sx157,,,,,,,,,
,,,,,,,,,,,
4,DB.2.4.6,Peinture,,,,,,,,,
5,DB.2.4.6.1,Fourniture et pose peinture murs - marmorex astral y/c preparation (5 couches),,,,,,,,,
5,DB.2.4.6.2,Fourniture et pose peinture contremarche escalier - marmorex astral y/c preparation (5 couches,,,,,,,,,
5,DB.2.4.6.3,Fourniture et pose peinture murs cuisine - alpha tacto astral y/c preparation (5 couches),,,,,,,,,
5,DB.2.4.6.4,Foruniture et pose peinture faux-plafond - jotun acrylique mate blanc y/c preparation (5 couches),,,,,,,,,
5,DB.2.4.6.5,Fourniture et pose peinture murs sdb - jotun acrylique semi-brillant blanc special piece humide y/c preparation (5 couches),,,,,,,,,
5,DB.2.4.6.6,Fourniture et pose peinture faux-plafond sdb + cuisine - jotun acrylique semi-brillant blanc special piece humide y/c preparation (5 couches),,,,,,,,,
,,,,,,,,,,,
4,DB.2.4.7,Faux plafonds,,,,,,,,,
5,DB.2.4.7.1,Type 1,,,,,,,,,
5,DB.2.4.7.2,Type 2,,,,,,,,,
5,DB.2.4.7.3,Type 3 – hydrofuge – exterieur,,,,,,,,,
5,DB.2.4.7.4,Trappes d’acces,,,,,,,,,
,,,,,,,,,,,
4,DB.2.4.8,Cuisine,1,unit,,,,,,,
,,,,,,,,,,,
3,DB.2.5,Facade,,,,,,,,,
4,DB.2.5.1,Revetement exterieur ,,,,,,,,,
5,DB.2.5.1.1,Revetement mural: plus value enduit mural hydrofuge (monocouche),,,,,,,,,
5,DB.2.5.1.2,Revetement mural: pierre volcanique grise ,,,,,,,,,
5,DB.2.5.1.3,Revetement mural: bardage en bois iroko ou tole alu section carre ou rectangulaire avec habillage bois technowood (voir detail architecte),,,,,,,,,
5,DB.2.5.1.4,Revêtement sol: terrasses et cour - tech - choix sous validation d'echantillons par l'architecte et le maitre d'ouvrage ,,,,,,,,,
5,DB.2.5.1.5,Revetement sol: seuill entree en pierre de taza,,,,,,,,,
5,DB.2.5.1.6,Revetement sol: sous bassement perimetre villa en pierre de taza ,,,,,,,,,
,,,,,,,,,,,
4,DB.2.5.2,Menuiserie aluminium,,,,,,,,,
5,DB.2.5.2.1,Fenetres,,,,,,,,,
6,DB.2.5.2.1.1,F1,,,,,,,,,
6,DB.2.5.2.1.2,F2,,,,,,,,,
,,,,,,,,,,,
5,DB.2.5.2.2,Chassis ouvrants,,,,,,,,,
6,DB.2.5.2.2.1,Ch1,,,,,,,,,
6,DB.2.5.2.2.2,Ch2,,,,,,,,,
6,DB.2.5.2.2.3,Ch3,,,,,,,,,
,,,,,,,,,,,
5,DB.2.5.2.3,Portes coulissantes/ mur rideau,,,,,,,,,
6,DB.2.5.2.3.1,P4,,,,,,,,,
6,DB.2.5.2.3.2,P5,,,,,,,,,
6,DB.2.5.2.3.3,P6,,,,,,,,,
,,,,,,,,,,,
5,DB.2.5.2.4,Volets roulants,,,,,,,,,
6,DB.2.5.2.4.1,Type 1,,,,,,,,,
6,DB.2.5.2.4.2,Type 2,,,,,,,,,
6,DB.2.5.2.4.3,Type 3,,,,,,,,,
3,DB.2.6,Exterieur,,,,,,,,,
4,DB.2.6.1,Cloture,,,,,,,,,
4,DB.2.6.2,Piscine,,,,,,,,,
4,DB.2.6.3,Jardin,,,,,,,,,
